,parameter,unit,value
1,V_am,mg gDW-1 d-1,124
2,K_am,mg m-3,700
3,M_am,m3 gDW-1 d-1,NA
4,C_am,m3 gDW-1 d-1,NA
5,V_ni,mg gDW-1 d-1,39
6,K_ni,mg m-3,70
7,M_ni,m3 gDW-1 d-1,NA
8,C_ni,m3 gDW-1 d-1,NA
9,V_ot,mg gDW-1 d-1,NA
10,K_ot,mg m-3,NA
11,M_ot,m3 gDW-1 d-1,NA
12,C_ot,m3 gDW-1 d-1,NA
13,Q_min,mg gDW-1,12.5
14,Q_max,mg gDW-1,71.5
15,K_c,mg gDW-1,7
16,mu,d-1,0.45
17,D_m,d-1,0.003
18,D_ve,d-1,NA
19,D_lo,d-1,NA
20,D_mi,d-1,NA
21,D_hi,d-1,NA
22,a_cs,m mg-1,0.00033
23,I_o,umol photons m-2 s-1,200
24,T_opt,degrees C,23
25,T_min,degrees C,1
26,T_max,degrees C,40
27,S_opt,g L-1,31.5
28,S_min,g L-1,4
29,S_max,g L-1,58
30,h_a,d-1,NA
31,h_b,d-1,NA
32,h_c,d-1,NA
33,h_max,m,0.2
34,DWWW,gWW gDW-1,1.060445387
